"Country","Average"
"Belarus",752.837903409091
"Belgium",1007.87010614386
"Costa Rica",496.850469421488
"Croatia",488.502363636364
"Denmark",1048.91253872054
"France",7448.02479090909
"Hungary",808.148303498226
"Israel",1455.51956140351
"Latvia",176.979376669339
"Luxembourg",130.256009268957
"Norway",658.887966972683
"Romania",1365.08675413223
"Sweden",944.951987522848
"Switzerland",1205.13821103896
"United Kingdom",5974.3626361039
